"","sample_id","project","s_project","organ","marker","type","control_type","code","Family","Genus","Species"
"DRYER_natura_leaf_ITS2_62_NA","DRYER_natura_leaf_ITS2_62_NA","DRYER","natura","leaf","ITS2","sample",NA,"62","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_63_NA","DRYER_natura_leaf_ITS2_63_NA","DRYER","natura","leaf","ITS2","sample",NA,"63","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_64_NA","DRYER_natura_leaf_ITS2_64_NA","DRYER","natura","leaf","ITS2","sample",NA,"64","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_65_NA","DRYER_natura_leaf_ITS2_65_NA","DRYER","natura","leaf","ITS2","sample",NA,"65","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_66_NA","DRYER_natura_leaf_ITS2_66_NA","DRYER","natura","leaf","ITS2","sample",NA,"66","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_67_NA","DRYER_natura_leaf_ITS2_67_NA","DRYER","natura","leaf","ITS2","sample",NA,"67","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_68_NA","DRYER_natura_leaf_ITS2_68_NA","DRYER","natura","leaf","ITS2","sample",NA,"68","Myristicaceae","Virola","surinamensis"
"DRYER_natura_leaf_ITS2_69_NA","DRYER_natura_leaf_ITS2_69_NA","DRYER","natura","leaf","ITS2","sample",NA,"69","Fabaceae","Tachigali","melinonii"
"DRYER_natura_leaf_ITS2_7_NA","DRYER_natura_leaf_ITS2_7_NA","DRYER","natura","leaf","ITS2","sample",NA,"7","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_leaf_ITS2_70_NA","DRYER_natura_leaf_ITS2_70_NA","DRYER","natura","leaf","ITS2","sample",NA,"70","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_71_NA","DRYER_natura_leaf_ITS2_71_NA","DRYER","natura","leaf","ITS2","sample",NA,"71","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_72_NA","DRYER_natura_leaf_ITS2_72_NA","DRYER","natura","leaf","ITS2","sample",NA,"72","Bignoniaceae","Jacaranda","copaia"
"DRYER_natura_leaf_ITS2_8_NA","DRYER_natura_leaf_ITS2_8_NA","DRYER","natura","leaf","ITS2","sample",NA,"8","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_leaf_ITS2_9_NA","DRYER_natura_leaf_ITS2_9_NA","DRYER","natura","leaf","ITS2","sample",NA,"9","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_1_NA","DRYER_natura_root_ITS2_1_NA","DRYER","natura","root","ITS2","sample",NA,"1","Myristicaceae","Iryanthera","hostmannii"
"DRYER_natura_root_ITS2_10_NA","DRYER_natura_root_ITS2_10_NA","DRYER","natura","root","ITS2","sample",NA,"10","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_11_NA","DRYER_natura_root_ITS2_11_NA","DRYER","natura","root","ITS2","sample",NA,"11","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_12_NA","DRYER_natura_root_ITS2_12_NA","DRYER","natura","root","ITS2","sample",NA,"12","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_14_NA","DRYER_natura_root_ITS2_14_NA","DRYER","natura","root","ITS2","sample",NA,"14","Fabaceae","Pterocarpus","officinalis"
"DRYER_natura_root_ITS2_16_NA","DRYER_natura_root_ITS2_16_NA","DRYER","natura","root","ITS2","sample",NA,"16","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_18_NA","DRYER_natura_root_ITS2_18_NA","DRYER","natura","root","ITS2","sample",NA,"18","Clusiaceae","Symphonia","globulifera"
"DRYER_natura_root_ITS2_19_NA","DRYER_natura_root_ITS2_19_NA","DRYER","natura","root","ITS2","sample",NA,"19","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_2_NA","DRYER_natura_root_ITS2_2_NA","DRYER","natura","root","ITS2","sample",NA,"2","Fabaceae","Eperua","falcata"
"DRYER_natura_root_ITS2_20_NA","DRYER_natura_root_ITS2_20_NA","DRYER","natura","root","ITS2","sample",NA,"20","Fabaceae","Eperua","falcata"
