"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_leaf_16S_42_NA","DRYER_natura_leaf_16S_42_NA","DRYER","natura","leaf","16S","sample",NA,"42",11216,568,TRUE,TRUE,10779,514,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_43_NA","DRYER_natura_leaf_16S_43_NA","DRYER","natura","leaf","16S","sample",NA,"43",13055,396,TRUE,TRUE,12634,314,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_44_NA","DRYER_natura_leaf_16S_44_NA","DRYER","natura","leaf","16S","sample",NA,"44",11115,389,TRUE,TRUE,10768,320,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_45_NA","DRYER_natura_leaf_16S_45_NA","DRYER","natura","leaf","16S","sample",NA,"45",9809,480,TRUE,TRUE,9366,420,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_46_NA","DRYER_natura_leaf_16S_46_NA","DRYER","natura","leaf","16S","sample",NA,"46",12786,543,TRUE,TRUE,12331,479,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_47_NA","DRYER_natura_leaf_16S_47_NA","DRYER","natura","leaf","16S","sample",NA,"47",11075,467,TRUE,TRUE,10720,413,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_48_NA","DRYER_natura_leaf_16S_48_NA","DRYER","natura","leaf","16S","sample",NA,"48",17321,528,TRUE,TRUE,16971,470,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_49_NA","DRYER_natura_leaf_16S_49_NA","DRYER","natura","leaf","16S","sample",NA,"49",16672,618,TRUE,TRUE,15798,555,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_50_NA","DRYER_natura_leaf_16S_50_NA","DRYER","natura","leaf","16S","sample",NA,"50",15989,525,TRUE,TRUE,15335,467,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_51_NA","DRYER_natura_leaf_16S_51_NA","DRYER","natura","leaf","16S","sample",NA,"51",16190,490,TRUE,TRUE,15694,435,"Pterocarpus_officinalis","Fabaceae"
"DRYER_natura_leaf_16S_52_NA","DRYER_natura_leaf_16S_52_NA","DRYER","natura","leaf","16S","sample",NA,"52",10585,471,TRUE,TRUE,10205,374,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_53_NA","DRYER_natura_leaf_16S_53_NA","DRYER","natura","leaf","16S","sample",NA,"53",10217,588,TRUE,TRUE,9757,519,"Iryanthera_hostmannii","Fabaceae"
"DRYER_natura_leaf_16S_54_NA","DRYER_natura_leaf_16S_54_NA","DRYER","natura","leaf","16S","sample",NA,"54",14374,751,TRUE,TRUE,13942,693,"Jacaranda_copaia","Bignoniaceae"
